id,student_id,exercise_tracking_id,possible_answer_id,ans_inserted_at,ans_user_input,is_exercise_finished,exercise_tracking_started_at,exercise_tracking_finished_at,exercise_type_id
51750,1447,14756,15907,2024-05-25T09:51:12,leonardo da vinci,false,2024-05-25T09:50:36,2024-05-25T09:51:12,1497
51749,1447,14756,15955,2024-05-25T09:51:02,,false,2024-05-25T09:50:36,2024-05-25T09:51:12,1497
51748,1447,14756,15911,2024-05-25T09:50:57,kjlfc,false,2024-05-25T09:50:36,2024-05-25T09:51:12,1497
51747,1447,14756,15901,2024-05-25T09:50:53,world wide web,false,2024-05-25T09:50:36,2024-05-25T09:51:12,1497
51746,1447,14756,15952,2024-05-25T09:50:46,wide,false,2024-05-25T09:50:36,2024-05-25T09:51:12,1497
51745,1447,14756,15904,2024-05-25T09:50:39,ejkhfrd,false,2024-05-25T09:50:36,2024-05-25T09:51:12,1497
51744,1447,14755,15913,2024-05-25T09:50:21,2004,true,2024-05-25T09:49:30,2024-05-25T09:50:21,1497
51743,1447,14755,15915,2024-05-25T09:50:17,2005,true,2024-05-25T09:49:30,2024-05-25T09:50:21,1497
51742,1447,14755,15907,2024-05-25T09:50:02,Leonardo Da Vinci,true,2024-05-25T09:49:30,2024-05-25T09:50:21,1497
51741,1447,14755,15901,2024-05-25T09:49:54,world wide web,true,2024-05-25T09:49:30,2024-05-25T09:50:21,1497
51620,1447,14694,15913,2024-05-21T11:40:56,2004,true,2024-05-21T11:40:40,2024-05-21T11:40:57,1497
51619,1447,14694,15907,2024-05-21T11:40:54,leonardo da vinci,true,2024-05-21T11:40:40,2024-05-21T11:40:57,1497
51618,1447,14694,15901,2024-05-21T11:40:49,World wide web,true,2024-05-21T11:40:40,2024-05-21T11:40:57,1497
51608,1447,14691,15904,2024-05-21T08:58:06,ukj,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51607,1447,14691,15904,2024-05-21T08:58:04,hjmn,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51606,1447,14691,15904,2024-05-21T08:58:02,jj,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51605,1447,14691,15904,2024-05-21T08:57:59,fh,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51604,1447,14691,15904,2024-05-21T08:57:58,hjkkkkkl,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51603,1447,14691,15904,2024-05-21T08:57:55,ghjkl,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51602,1447,14691,15904,2024-05-21T08:57:53,fghjkl,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51601,1447,14691,15904,2024-05-21T08:57:50,gjkj,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51600,1447,14691,15904,2024-05-21T08:57:48,jbkhj,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51599,1447,14691,15904,2024-05-21T08:57:46,jghj,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51598,1447,14691,15904,2024-05-21T08:57:43,ytghjb,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51597,1447,14691,15904,2024-05-21T08:57:41,ytfhg,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51596,1447,14691,15904,2024-05-21T08:57:39,ughj,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51595,1447,14691,15904,2024-05-21T08:57:38,kjglh,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51594,1447,14691,15904,2024-05-21T08:57:36,kh,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51593,1447,14691,15904,2024-05-21T08:57:34,www,false,2024-05-21T08:57:29,2024-05-21T08:57:34,1497
51592,1447,14690,15913,2024-05-21T08:56:36,2004,true,2024-05-21T08:56:19,2024-05-21T08:56:37,1497
51591,1447,14690,15907,2024-05-21T08:56:32,leonardo da vinci,true,2024-05-21T08:56:19,2024-05-21T08:56:37,1497
